epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,20075.2,0.47048,0.27377,0.90901,0.99486,0.99247,0.99431,0.90698,0.43477,0.23256,0.89966,0.000429068,0.000429068,0.000429068
33,25954.5,0.46799,0.27327,0.89629,0.99297,0.97966,0.99347,0.91119,0.42803,0.24392,0.90076,0.00040707,0.00040707,0.00040707
34,27324.1,0.46922,0.27572,0.90694,0.9869,0.98834,0.99372,0.90691,0.42802,0.23573,0.89991,0.000385073,0.000385073,0.000385073
35,27596.6,0.46889,0.27451,0.90922,0.98705,0.99109,0.99213,0.91059,0.42317,0.23761,0.89956,0.000363075,0.000363075,0.000363075
36,27862.7,0.46427,0.26847,0.90085,0.99091,0.99273,0.99415,0.91307,0.41881,0.22473,0.89673,0.000341077,0.000341077,0.000341077
37,28130.8,0.45963,0.26584,0.90019,0.98843,0.99003,0.99373,0.91056,0.43151,0.22287,0.89847,0.000319079,0.000319079,0.000319079
38,28404.1,0.46083,0.26,0.90547,0.99284,0.99053,0.99296,0.91307,0.41971,0.22426,0.8953,0.000297081,0.000297081,0.000297081
39,28694.1,0.45206,0.25844,0.89206,0.99398,0.99545,0.99434,0.91427,0.41899,0.21152,0.89673,0.000275084,0.000275084,0.000275084
40,29256.6,0.44416,0.2543,0.89115,0.99091,0.99316,0.9943,0.91322,0.41943,0.2087,0.89604,0.000253086,0.000253086,0.000253086
41,29567.2,0.41368,0.2186,0.87924,0.99463,0.99442,0.99203,0.90933,0.41995,0.21373,0.88519,0.000231088,0.000231088,0.000231088
42,29882,0.41779,0.22192,0.87875,0.99206,0.99045,0.99058,0.91201,0.41281,0.21562,0.88458,0.00020909,0.00020909,0.00020909
43,30184,0.41274,0.20735,0.87931,0.98875,0.98691,0.9907,0.91322,0.41164,0.21292,0.88678,0.000187092,0.000187092,0.000187092
44,30517.1,0.40847,0.20371,0.87897,0.99476,0.99376,0.99407,0.91687,0.40935,0.20038,0.88449,0.000165095,0.000165095,0.000165095
45,34591,0.40428,0.20366,0.86955,0.99196,0.99045,0.99248,0.91561,0.41406,0.20897,0.88483,0.000143097,0.000143097,0.000143097
46,38776.3,0.39604,0.19538,0.86103,0.99485,0.99545,0.99441,0.92491,0.40604,0.19583,0.88463,0.000121099,0.000121099,0.000121099
47,45707,0.39378,0.19292,0.86961,0.99269,0.99388,0.99448,0.92082,0.4062,0.19396,0.8843,9.91012e-05,9.91012e-05,9.91012e-05
48,53054.8,0.39274,0.19296,0.86554,0.99342,0.99316,0.99439,0.92378,0.40277,0.18812,0.88105,7.71034e-05,7.71034e-05,7.71034e-05
49,57746.2,0.3929,0.19017,0.86904,0.99472,0.99545,0.99456,0.92194,0.39769,0.18703,0.8788,5.51056e-05,5.51056e-05,5.51056e-05
50,58491.5,0.3874,0.18492,0.86943,0.99342,0.99545,0.99454,0.9227,0.4001,0.18566,0.88034,3.31078e-05,3.31078e-05,3.31078e-05
