epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1486.38,0.67965,1.51881,1.0222,0.76947,0.60506,0.59811,0.4729,0.87427,2.33045,1.34823,0.000366219,0.000366219,0.000366219
2,1921.94,0.73809,0.90283,1.0687,0.52739,0.39499,0.35863,0.27632,0.86837,1.86128,1.23354,0.000721968,0.000721968,0.000721968
3,2374.13,0.75554,0.86403,1.05862,0.81161,0.2889,0.30998,0.25667,0.76297,2.95743,1.24063,0.00106305,0.00106305,0.00106305
4,2833.75,0.73044,0.72166,1.0549,0.56608,0.32521,0.3648,0.29911,0.71957,3.97691,1.1055,0.00104501,0.00104501,0.00104501
5,3304.71,0.70092,0.67705,1.0353,0.49711,0.26122,0.27961,0.21748,1.16763,1.65442,1.48924,0.00102301,0.00102301,0.00102301
6,3763.88,0.67745,0.6022,1.01608,0.90862,0.62684,0.68084,0.5876,0.55279,0.68135,1.00483,0.00100101,0.00100101,0.00100101
7,6069,0.65107,0.55233,0.99211,0.92668,0.92133,0.95656,0.81391,0.55352,0.54345,0.99597,0.000979013,0.000979013,0.000979013
8,6499.78,0.624,0.53346,0.98717,0.9439,0.95643,0.97206,0.8522,0.5242,0.43744,0.97794,0.000957015,0.000957015,0.000957015
9,6945.35,0.59836,0.51332,0.9694,0.86582,0.82509,0.87038,0.73444,0.55841,0.77534,1.00253,0.000935018,0.000935018,0.000935018
10,7390.17,0.58978,0.46542,0.96126,0.93838,0.94525,0.97139,0.86209,0.49917,0.44124,0.96776,0.00091302,0.00091302,0.00091302
11,9250.5,0.58094,0.45768,0.96128,0.85634,0.83373,0.93301,0.7816,0.6097,0.74327,1.04233,0.000891022,0.000891022,0.000891022
12,9532.01,0.5805,0.43889,0.96471,0.93738,0.96133,0.96913,0.85337,0.52661,0.39967,0.97928,0.000869024,0.000869024,0.000869024
13,9812.85,0.57809,0.42578,0.95611,0.96975,0.97868,0.98028,0.86106,0.50408,0.37275,0.95286,0.000847026,0.000847026,0.000847026
14,10089.3,0.56144,0.41113,0.94907,0.9687,0.96685,0.98384,0.86152,0.54639,0.34973,0.97111,0.000825029,0.000825029,0.000825029
15,10371.7,0.55739,0.39357,0.94802,0.96569,0.95885,0.9863,0.87545,0.51774,0.38139,0.96017,0.000803031,0.000803031,0.000803031
16,10658,0.57121,0.39801,0.95584,0.98257,0.98085,0.99139,0.87678,0.49597,0.32845,0.94701,0.000781033,0.000781033,0.000781033
17,12793.3,0.53477,0.38343,0.93972,0.9853,0.97606,0.9876,0.88203,0.47209,0.31791,0.93135,0.000759035,0.000759035,0.000759035
18,13194.5,0.52094,0.36484,0.92477,0.9925,0.98829,0.99177,0.88696,0.46917,0.28863,0.92429,0.000737037,0.000737037,0.000737037
19,13474.9,0.51453,0.34931,0.91929,0.97746,0.98087,0.99153,0.88727,0.46573,0.30662,0.93105,0.00071504,0.00071504,0.00071504
20,13754.4,0.51688,0.34727,0.92487,0.96104,0.97861,0.98378,0.88575,0.46463,0.32005,0.92207,0.000693042,0.000693042,0.000693042
21,14034.6,0.51706,0.34582,0.93688,0.98685,0.98348,0.99175,0.88773,0.46608,0.28717,0.92372,0.000671044,0.000671044,0.000671044
22,15311.1,0.5056,0.34322,0.92045,0.9854,0.98294,0.98968,0.89493,0.44892,0.28174,0.91616,0.000649046,0.000649046,0.000649046
23,16042.5,0.50823,0.33026,0.92077,0.99886,0.99307,0.99376,0.89723,0.45481,0.25624,0.91893,0.000627048,0.000627048,0.000627048
24,16316.3,0.52211,0.33778,0.93274,0.97181,0.98406,0.98997,0.90236,0.43807,0.28117,0.9046,0.000605051,0.000605051,0.000605051
25,16598.5,0.49995,0.31267,0.9246,0.99463,0.99045,0.99303,0.90339,0.43463,0.24812,0.90589,0.000583053,0.000583053,0.000583053
26,16880.3,0.48718,0.30773,0.91358,0.98703,0.98508,0.99112,0.89858,0.44984,0.26591,0.90874,0.000561055,0.000561055,0.000561055
27,17195.1,0.49286,0.29907,0.90937,0.98921,0.98533,0.99331,0.90276,0.4562,0.2674,0.91693,0.000539057,0.000539057,0.000539057
28,18524.6,0.48814,0.30449,0.91204,0.99395,0.99421,0.99374,0.8983,0.44774,0.24988,0.91227,0.000517059,0.000517059,0.000517059
29,18801.5,0.47163,0.2913,0.90599,0.98397,0.98802,0.99347,0.89854,0.43477,0.24741,0.89686,0.000495062,0.000495062,0.000495062
30,19082.4,0.48144,0.30206,0.90968,0.99292,0.99045,0.99361,0.90461,0.43136,0.23471,0.90528,0.000473064,0.000473064,0.000473064
31,19362.4,0.4836,0.29077,0.91053,0.99302,0.99545,0.99408,0.91113,0.42917,0.23042,0.90299,0.000451066,0.000451066,0.000451066
